"STATION","NAME","DATE","ACMH","ACSH","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TMAX","TMIN","TOBS","TSUN","WDFG","WDFM","WESD","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-14",,,,,,," 0112","0.00",,"0.0","0.0","71","59",,,"   23",,,"30.0",,,,,,,,,,,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-15",,,,,,," 1606","0.00",,"0.0","0.0","80","58",,,"  248",,,"18.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-16",,,,,,," 1306","0.00",,"0.0","0.0","84","63",,,"  248",,,"17.2",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-17",,,,,,," 1624","0.00",,"0.0","0.0","87","66",,,"  225",,,"15.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-18",,,,,,," 1648","0.00",,"0.0","0.0","85","68",,,"  270",,,"24.2",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-19",,,,,,," 1648","0.00",,"0.0","0.0","88","68",,,"  293",,,"21.9",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-20",,,,,,," 1048","0.00",,"0.0","0.0","75","64",,,"   45",,,"16.1",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-21",,,,,,," 1612","0.00",,"0.0","0.0","93","63",,,"  225",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-22",,,,,,," 1924","0.67",,"0.0","0.0","95","70",,,"  338",,,"43.6",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-23",,,,,,," 1618","0.00",,"0.0","0.0","82","69",,,"   45",,,"20.8",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-24",,,,,,," 1600","0.00",,"0.0","0.0","87","66",,,"   90",,,"17.2",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-25",,,,,,," 2112","0.05",,"0.0","0.0","93","73",,,"  203",,,"28.9",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-26",,,,,,," 1012","0.40",,"0.0","0.0","85","72",,,"  338",,,"32.2",,"    1",,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-27",,,,,,," 1406","0.00",,"0.0","0.0","88","69",,,"  315",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-28",,,,,,," 1342","0.00",,"0.0","0.0","91","71",,,"  270",,,"30.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-29",,,,,,," 2300","0.01",,"0.0","0.0","94","69",,,"  270",,,"41.4",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-30",,,,,,," 1248","0.00",,"0.0","0.0","77","64",,,"   23",,,"25.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-07-31",,,,,,," 1254","0.00",,"0.0","0.0","79","59",,,"  293",,,"19.5",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-01",,,,,,," 1536","0.00",,"0.0","0.0","87","62",,,"  203",,,"23.0",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-02",,,,,,," 1700","0.00",,"0.0","0.0","93","68",,,"  225",,,"19.5",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-03",,,,,,," 0912","0.05",,"0.0","0.0","93","71",,,"  338",,,"49.4",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-04",,,,,,," 0130","0.16",,"0.0","0.0","78","67",,,"  180",,,"47.2",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-05",,,,,,," 0824","0.00",,"0.0","0.0","81","60",,,"   90",,,"13.9",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-06",,,,,,," 1348","0.00",,"0.0","0.0","86","69",,,"  135",,,"21.9",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-07",,,,,,," 1242","0.15",,"0.0","0.0","88","71",,,"  270",,,"30.0",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-08",,,,,,," 1248","0.00",,"0.0","0.0","87","67",,,"  315",,,"23.0",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-09",,,,,,," 1400","0.23",,"0.0","0.0","83","68",,,"  315",,,"25.3",,"    1",,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-10",,,,,,," 1724","0.00",,"0.0","0.0","71","63",,,"  338",,,"25.3",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-11",,,,,,," 0236","0.00",,"0.0","0.0","78","58",,,"  315",,,"15.0",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-12",,,,,,," 0948","0.00",,"0.0","0.0","83","61",,,"  293",,,"18.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-13",,,,,,," 1506","0.00",,"0.0","0.0","86","62",,,"  225",,,"27.5",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-14",,,,,,," 1912","0.00",,"0.0","0.0","81","62",,,"   23",,,"27.5",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-15",,,,,,," 0818","0.00",,"0.0","0.0","73","59",,,"   68",,,"20.8",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-16",,,,,,," 1500","0.00",,"0.0","0.0","79","62",,,"   68",,,"19.5",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-17",,,,,,," 1218","0.00",,"0.0","0.0","87","64",,,"  180",,,"18.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-18",,,,,,," 1642","0.04",,"0.0","0.0","93","68",,,"  270",,,"31.1",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-19",,,,,,," 1706","0.33",,"0.0","0.0","87","70",,,"  113",,,"33.3",,"    1",,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-20",,,,,,," 1300","0.04",,"0.0","0.0","79","67",,,"  248",,,"23.0",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-21",,,,,,," 1342","0.00",,"0.0","0.0","84","66",,,"  248",,,"17.2",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-22",,,,,,," 1436","0.00",,"0.0","0.0","84","67",,,"   45",,,"15.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-23",,,,,,," 1248","0.00",,"0.0","0.0","84","68",,,"   90",,,"16.1",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-24",,,,,,," 1506","0.00",,"0.0","0.0","81","70",,,"   90",,,"17.2",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-25",,,,,,," 1106","0.00",,"0.0","0.0","88","69",,,"  180",,,"25.3",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-26",,,,,,," 0024","0.00",,"0.0","0.0","88","69",,,"  180",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-27",,,,,,," 1354","0.00",,"0.0","0.0","92","67",,,"  180",,,"20.8",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-28",,,,,,," 1542","0.00",,"0.0","0.0","89","71",,,"  180",,,"30.0",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-29",,,,,,," 0000","0.02",,"0.0","0.0","85","71",,,"  203",,,"25.3",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-30",,,,,,," 1342","0.00",,"0.0","0.0","89","69",,,"  248",,,"21.9",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-08-31",,,,,,," 1424","0.00",,"0.0","0.0","96","71",,,"  248",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-01",,,,,,," 1036","0.00",,"0.0","0.0","95","73",,,"  270",,,"17.2",,,,,,,,,"    1",,,,,
